,BETWEENNESS,DENSITY,BROKERAGE,TRANSITIVITY,YEAR,MONTH,DAY,HOUR,MINUTE,help,office,dance,money,wedding,domestic_work,sleep,medical_emergency,cold,hate,cheerfulness,aggression,occupation,envy,anticipation,family,vacation,crime,attractive,masculine,prison,health,pride,dispute,nervousness,government,weakness,horror,swearing_terms,leisure,suffering,royalty,wealthy,tourism,furniture,school,magic,beach,journalism,morning,banking,social_media,exercise,night,kill,blue_collar_job,art,ridicule,play,computer,college,optimism,stealing,real_estate,home,divine,sexual,fear,irritability,superhero,business,driving,pet,childish,cooking,exasperation,religion,hipster,internet,surprise,reading,worship,leader,independence,movement,body,noise,eating,medieval,zest,confusion,water,sports,death,healing,legend,heroic,celebration,restaurant,violence,programming,dominant_heirarchical,military,neglect,swimming,exotic,love,hiking,communication,hearing,order,sympathy,hygiene,weather,anonymity,trust,ancient,deception,fabric,air_travel,fight,dominant_personality,music,vehicle,politeness,toy,farming,meeting,war,speaking,listen,urban,shopping,disgust,fire,tool,phone,gain,sound,injury,sailing,rage,science,work,appearance,valuable,warmth,youth,sadness,fun,emotional,joy,affection,traveling,fashion,ugliness,lust,shame,torment,economics,anger,politics,ship,clothing,car,strength,technology,breaking,shape_and_size,power,white_collar_job,animal,party,terrorism,smell,disappointment,poor,plant,pain,beauty,timidity,philosophy,negotiate,negative_emotion,cleaning,messaging,competing,law,friends,payment,achievement,alcohol,liquid,feminine,weapon,children,monster,ocean,giving,contentment,writing,rural,positive_emotion,musical,STATUS_CHAR_LEN,STATUS_WORD_LEN,AVG_WORD_LEN,EXCLAMATION_COUNT,QUESTION_COUNT,UPPERCASE_RATIO,FIRST_PERSON_PRONOUN_DENSITY,DAY_OF_WEEK,IS_WEEKEND,IS_NIGHT
132,0.01026857513068392,0.04,0.010213603944236762,0.21,0.08333333333325754,0.7583333333333334,0.5416666666666667,0.7840909090909091,0.6797752808988764,0.0,0.0,0.0,0.0,0.0043859649122807015,0.013888888888888888,0.010416666666666666,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.007575757575757576,0.0,0.004166666666666667,0.0,0.0,0.0043859649122807015,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.027777777777777776,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012248563218390804,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0028735632183908046,0.0,0.27432045779685266,0.26436781609195403,0.13393719927018877,0.00505050505050505,0.07051282051282051,0.030023493696039998,0.011206896551724138,0.48611111111111105,0.3333333333333333,0.0
225,0.002197237572887936,0.08,0.0021711031942840543,0.26,1.0,0.1,0.1607142857142857,0.9090909090909092,0.11235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11158798283261803,0.10344827586206898,0.12467223546096351,0.0,0.0,0.06690561529271206,0.0,0.16666666666666666,0.0,0.0
238,0.04674804804358767,0.02,0.050220315922030245,0.05,0.23809523809518396,0.6285714285714287,0.5850340136054422,0.5930735930735931,0.6570358480470839,0.0,0.0026455026455026454,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.01092707614446745,0.0,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.0026455026455026454,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.001984126984126984,0.0,0.0,0.0,0.0,0.0026455026455026454,0.001984126984126984,0.0,0.0,0.003968253968253968,0.002976190476190476,0.0,0.0026455026455026454,0.007361398665746492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.01092707614446745,0.0,0.0,0.0,0.2017167381974249,0.19157088122605365,0.1569074752972594,0.06926406926406926,0.06043956043956043,0.09532737207499722,0.04796041605047817,0.3412698412698412,0.09523809523809523,0.47619047619047616
119,0.0320421643981773,0.02,0.03218266710885514,0.08,0.1323529411765776,0.7014705882352943,0.555672268907563,0.5307486631016043,0.5717118307997355,0.0,0.002850797069399842,0.00027233115468409583,0.0008691656010230179,0.002563772544590959,0.005816269195425205,0.004248366013071895,0.0025358116219460756,0.0016330770547705895,0.001395522526456342,0.000319693094629156,0.00022977941176470588,0.0022554172170540458,0.0,0.0,0.0012388107416879796,0.0034002265388705833,0.00031289111389236547,0.0010504201680672268,0.0005656108597285068,0.0,0.002777741531395167,0.0,0.0008982286096256685,0.0,0.0010263830932830797,0.0,0.00022977941176470588,0.0013109573605394867,0.002660987955105602,0.0014899017768458228,0.0,0.0,0.0006684491978609626,0.0018244139761167625,0.002305856553147575,0.00022977941176470588,0.0,0.0,0.004561257126964261,0.000639386189258312,0.0,0.001374263445688603,0.005052822411015688,0.0006272356915739269,0.0016898063573255388,0.00038699690402476777,0.0,0.0034590317872051617,0.0007066899986539238,0.0010263830932830797,0.0030716277511549173,0.001278772378516624,0.004561902971599876,0.007069138328135107,0.000397456279809221,0.0,0.00031289111389236547,0.0,0.0,0.004048828979752436,0.00031289111389236547,0.0011331834071157967,0.000717149374438377,0.0,0.0,0.0,0.0010504201680672268,0.0016078164066639362,0.0,0.00022977941176470588,0.0,0.0005656108597285068,0.000639386189258312,0.0020699507753637915,0.006107864534260021,0.00024108003857280618,0.000794912559618442,0.0,0.0,0.0,0.0,0.0010893246187363833,0.0016268290773153202,0.00455905585988372,0.0,0.0016488413547237077,0.001767569542505604,0.0,0.0023590673778688407,0.001614618387400727,0.0,0.000639386189258312,0.0004743833017077799,0.0,0.0,0.0,0.0,0.0007975412387177093,0.0005134111932569021,0.00038699690402476777,0.0,0.002050339366515837,0.0007905525449666681,0.0,0.001193659281894576,0.0015099789915966385,0.0006684491978609626,0.0006127450980392157,0.000981340311753328,0.004677506278139883,0.0,0.0005446623093681917,0.0,0.004333539798391373,0.0017800606035900154,0.0021008403361344537,0.000319693094629156,0.0010678806096906849,0.002333435201566006,0.0005134111932569021,0.0009522773031506775,0.0014313417674762213,0.0,0.0008853039543576628,0.0,0.00027233115468409583,0.000639386189258312,0.00024108003857280618,0.0026099637891163012,0.00031289111389236547,0.0,0.0021886006977161576,0.006208477879358044,0.0,0.0,0.0005494725063938619,0.000397456279809221,0.0,0.0019925387572446397,0.000998066246647121,0.0,0.0005252100840336134,0.006324515944119834,0.0011312217194570137,0.000397456279809221,0.0,0.0003586800573888092,0.0017570039472417447,0.002558971958348557,0.0,0.0,0.0,0.0019850468560690354,0.0,0.00047085945033751214,0.002254004576659039,0.002977032159017453,0.004541069145049324,0.0006167763157894736,0.0028948034063123575,0.0021960261779770916,0.006575536866457583,0.0005656108597285068,0.00045955882352941176,0.0,0.0028035758482916305,0.003454587663845137,0.0014899017768458228,0.005042016806722689,0.0,0.0,0.002740226525392766,0.005195126456105641,0.0012777977044476326,0.0,0.0034432870370370372,0.0011312217194570137,0.003431792186117446,0.000639386189258312,0.0007048571062411893,0.0027573529411764708,0.00031289111389236547,0.0020391501082038166,0.0018044216014164863,0.000397456279809221,0.0005426705256570713,0.00022977941176470588,0.002967235487545402,0.0,0.00022977941176470588,0.005271796218487395,0.002378740799076789,0.0005446623093681917,0.4361272405958092,0.39621365787694385,0.20761225487778273,0.01693404634581105,0.024886877828054297,0.07219124314457354,0.012832150468385529,0.553921568627451,0.3382352941176471,0.3235294117647059
136,0.07586195523471108,0.02,0.07680702984693048,0.1,0.13924050632908802,0.7379746835443038,0.5999095840867992,0.37341772151898733,0.6400227563646708,0.0006662225183211193,0.0003421142661648991,0.007390171258376769,0.0011531304871976308,0.011908376891866159,0.005728066115258967,0.004473532796317606,0.0,0.0017913896284837399,0.003682393555811277,0.010090785200856746,0.0004219409282700422,0.002253258470682149,0.002039381153305204,0.0,0.006918155912943701,0.005864264527606613,0.0,0.0,0.0005274261603375527,0.0006027727546714888,0.0,0.0,0.0024650198006172072,0.0016075032104201064,0.0,0.0,0.000183452577508714,0.009323341918278627,0.007724471094181142,0.0013342005636997382,0.0,0.000550357732526142,0.0,0.002090155254712217,0.0005753739930955121,0.0,0.0007911392405063291,0.0018494916432523247,0.005558523754726287,0.0012949593706497457,0.0033223396184320787,0.0037231214446404324,0.003629650939777522,0.0,0.0003421142661648991,0.0007446016381236039,0.004350119244175381,0.012506272492059626,0.0017183114725929322,0.00035161744022503517,0.016334455305431175,0.0,0.0,0.0064921213096939085,0.00035161744022503517,0.000879043600562588,0.0030648649692475547,0.0,0.0,0.006822784974860914,0.0030959584198601326,0.0,0.016943528957983088,0.0027330264672036824,0.0,0.0,0.0,0.00974446253671868,0.00033311125916055963,0.0018494916432523247,0.0,0.0,0.0,0.0006508515307527349,0.00543661713447074,0.002293157218858925,0.0027330264672036824,0.0,0.00035161744022503517,0.0034072523079851525,0.0,0.011812150015304433,0.0011771540390142481,0.00273708853718787,0.00035161744022503517,0.0017721518987341774,0.015277487239657385,0.0011507479861910242,0.0021253398042060676,0.0,0.0,0.0,0.0,0.0,0.0008438818565400844,0.0030594554701671695,0.00028768699654775604,0.005430857030568216,0.004672779954028943,0.0009115100192593245,0.0,0.0,0.0012658227848101266,0.0,0.0010247136829415308,0.0,0.0,0.0,0.0006435006435006435,0.0012658227848101266,0.0005274261603375527,0.01250150950125051,0.0030959584198601326,0.0,0.011718056899892198,0.0007446016381236039,0.0009115100192593245,0.0,0.0030365023754019282,0.006453727731763176,0.0014064697609001407,0.0006027727546714888,0.0,0.0,0.0003013863773357444,0.0020569620253164554,0.0,0.0020019262520638414,0.000733810310034856,0.0,0.0,0.0,0.004936053874996541,0.0,0.000550357732526142,0.0,0.0018169705045121434,0.000183452577508714,0.005986585516174486,0.0033448408131952433,0.0,0.0016823542139997837,0.002363914547458851,0.0,0.0006329113924050633,0.00035161744022503517,0.0021505645336135156,0.000183452577508714,0.0009448870208363879,0.000183452577508714,0.0,0.0,0.0,0.0030959584198601326,0.0004219409282700422,0.0,0.0,0.004430379746835442,0.0,0.0003421142661648991,0.0015822784810126582,0.014497055146766932,0.0,0.0,0.0,0.0003421142661648991,0.001086715904288503,0.0023087923817147814,0.0004219409282700422,0.0007911392405063291,0.0,0.0,0.013637374109378281,0.0033755274261603376,0.004404068785061168,0.0009041591320072332,0.0,0.006872615133774361,0.000550357732526142,0.0021287050868778992,0.0015417072379097696,0.0,0.0,0.0004868549172346641,0.010040377122322492,0.0,0.0,0.006253075916693182,0.0005350700177337492,0.002524717168577783,0.0003013863773357444,0.01681184894462999,0.007723937705314145,0.40441136524148424,0.40419030990833693,0.12833058004258674,0.0,0.09639727361246349,0.015869489481126556,0.0632815139367373,0.5337552742616034,0.3037974683544304,0.43037974683544306
66,0.0024270165054843767,0.06,0.0023032848324340497,0.15,0.2400000000000091,0.784,0.5614285714285714,0.5363636363636364,0.4817977528089888,0.004675324675324675,0.0,0.002352941176470588,0.0,0.0025,0.0065608465608465606,0.002857142857142857,0.0,0.0,0.0,0.0025,0.0,0.0022222222222222222,0.0,0.0,0.0,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001379310344827586,0.0017391304347826085,0.0,0.0,0.0,0.002857142857142857,0.0,0.0017391304347826085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.0,0.003076923076923077,0.0,0.0,0.0,0.0022222222222222222,0.002352941176470588,0.0,0.005714285714285714,0.0,0.0,0.016047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011428571428571427,0.0,0.0076363636363636364,0.0,0.0,0.002857142857142857,0.0,0.0,0.005619412515964239,0.0,0.005357142857142857,0.0,0.0,0.0,0.002352941176470588,0.005357142857142857,0.0,0.0,0.0,0.0,0.0028819875776397515,0.0,0.0,0.0,0.005166666666666666,0.0,0.007317025248059731,0.0,0.003076923076923077,0.0,0.0014814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011428571428571427,0.0,0.002352941176470588,0.0,0.001379310344827586,0.005714285714285714,0.0,0.0,0.0011428571428571427,0.008459882390916874,0.002352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.002857142857142857,0.003478260869565217,0.002857142857142857,0.005471381956080783,0.0,0.005166666666666666,0.0022222222222222222,0.0,0.0,0.0,0.0017391304347826085,0.0,0.0022222222222222222,0.0,0.0017391304347826085,0.0,0.0,0.0,0.001379310344827586,0.0,0.0,0.0,0.0017391304347826085,0.0022222222222222222,0.0,0.008214285714285714,0.0017391304347826085,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0031184407796101946,0.0014814814814814814,0.0,0.0025,0.0,0.00940311986863711,0.0,0.0025,0.002857142857142857,0.002857142857142857,0.0,0.0,0.005210084033613445,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.010333333333333332,0.002352941176470588,0.3026609442060086,0.30252873563218385,0.1298945013366548,0.02666666666666667,0.08461538461538462,0.13272994175062927,0.05547825519833634,0.48666666666666664,0.24,0.28
217,0.009982859541489279,0.06,0.01052229160219184,0.28,0.0,0.7090909090909092,0.586038961038961,0.6714876033057852,0.5362614913176711,0.0,0.0,0.0023923444976076554,0.0030303030303030303,0.0006587615283267457,0.0,0.0018939393939393938,0.0,0.0,0.0032467532467532465,0.0013175230566534915,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.004132231404958678,0.0023923444976076554,0.0032467532467532465,0.0,0.0,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0,0.0,0.0030303030303030303,0.0,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0023923444976076554,0.0,0.0,0.0013175230566534915,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.001976284584980237,0.007575757575757575,0.0006587615283267457,0.007575757575757575,0.0,0.0,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0,0.0006587615283267457,0.0,0.0,0.003051106025934401,0.0,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0006587615283267457,0.0,0.0006587615283267457,0.0006587615283267457,0.0013175230566534915,0.0,0.0,0.0,0.0,0.0,0.0,0.0032467532467532465,0.0,0.0,0.0,0.0,0.008916920400173988,0.0,0.0,0.0023923444976076554,0.0,0.0,0.0,0.0013175230566534915,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006587615283267457,0.011363636363636364,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0,0.0006587615283267457,0.0,0.0023923444976076554,0.0,0.0006587615283267457,0.0,0.0018939393939393938,0.0,0.0,0.0,0.0,0.0032467532467532465,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0025527009222661395,0.0,0.0,0.0,0.0030303030303030303,0.0006587615283267457,0.011363636363636364,0.0,0.0,0.0,0.0030303030303030303,0.006026170798898071,0.0,0.004132231404958678,0.0,0.0,0.0006587615283267457,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0006587615283267457,0.0,0.0006587615283267457,0.0,0.0006587615283267457,0.0,0.0006587615283267457,0.007575757575757575,0.0,0.004347826086956522,0.0023923444976076554,0.28228638314475224,0.2622779519331243,0.15097525881650414,0.024793388429752067,0.05769230769230769,0.11197857304914076,0.01824854986910323,0.5984848484848484,0.4090909090909091,0.18181818181818182
154,0.011205300401298572,0.03993396846022924,0.011411945262554683,0.27,0.0,0.5000000000000001,0.6071428571428571,1.0,0.02247191011235955,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.871244635193133,0.9425287356321839,0.10400186482666407,0.18181818181818182,0.0,0.038834951456310676,0.0,0.5,0.0,0.0
168,0.4518838848329996,0.01,0.4505312197990681,0.03,0.0,0.775,0.5892857142857143,0.6022727272727273,0.38202247191011235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.13304721030042918,0.13218390804597702,0.12862730637816983,0.15151515151515152,0.0,0.017857142857142856,0.0,0.7083333333333333,0.25,0.0
229,0.03152514382276385,0.04,0.03258871010508836,0.21,0.0,0.9,0.22142857142857142,0.6318181818181818,0.6359550561797753,0.0,0.0,0.0032258064516129032,0.0,0.01111111111111111,0.0032258064516129032,0.0,0.0,0.0,0.0035714285714285713,0.01111111111111111,0.0,0.0058823529411764705,0.0,0.0,0.0032258064516129032,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.014973262032085561,0.0,0.005,0.0,0.005,0.0,0.0,0.0035714285714285713,0.0,0.00909090909090909,0.0,0.0,0.0,0.0035714285714285713,0.0,0.014973262032085561,0.024227994227994227,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.012316715542521995,0.009453781512605041,0.019227994227994226,0.0,0.0,0.0,0.0,0.0,0.0,0.017424242424242425,0.0,0.0,0.0,0.010368663594470046,0.0035714285714285713,0.0,0.0032258064516129032,0.0,0.0,0.0,0.005,0.0058823529411764705,0.00909090909090909,0.005,0.0,0.005,0.01468253968253968,0.0032258064516129032,0.012662337662337663,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012316715542521995,0.0,0.0035714285714285713,0.0,0.012316715542521995,0.0,0.0,0.0,0.0,0.0,0.0,0.008225806451612904,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.00909090909090909,0.011764705882352941,0.0,0.0,0.005,0.0035714285714285713,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032258064516129032,0.012316715542521995,0.0035714285714285713,0.0,0.0,0.015656565656565657,0.0,0.0058823529411764705,0.0,0.01468253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016233766233766232,0.005,0.0,0.0,0.0,0.0035714285714285713,0.0,0.0,0.0,0.005,0.0,0.005,0.008116883116883116,0.0,0.005,0.005,0.0,0.0,0.0,0.020656565656565658,0.0,0.3536480686695279,0.3563218390804598,0.12062197026598681,0.024242424242424246,0.12692307692307692,0.009155847546386386,0.03708938120702827,0.6166666666666667,0.3,0.5
